LineId,Device,type,time,Content,EventId,EventTemplate,ParameterList
16,Client03,PATH,1584200382.539:4289,"item=1 name=""/home/akep/Downloads/"" inode=516310 dev=08:01 mode=040755 ouid=1000 ogid=1000 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['1 name=""/home/akep/Downloads/""', '516310', '08:01', '040755', '1000', '1000', '00:00', '=PARENT', '0', '0', '0', '0']"
17,Client03,PATH,1584200382.539:4289,"item=2 name=""/tmp/mozilla_akep0/oyQumUfu.sh.part"" inode=516686 dev=08:01 mode=0100600 ouid=1000 ogid=1000 rdev=00:00 nametype=DELETE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['2 name=""/tmp/mozilla_akep0/oyQumUfu.sh.part""', '516686', '08:01', '0100600', '1000', '1000', '00:00', '=DELETE', '0', '0', '0', '0']"
18,Client03,PATH,1584200382.539:4289,"item=3 name=""/home/akep/Downloads/Report_2020.sh"" inode=516676 dev=08:01 mode=0100644 ouid=1000 ogid=1000 rdev=00:00 nametype=DELETE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['3 name=""/home/akep/Downloads/Report_2020.sh""', '516676', '08:01', '0100644', '1000', '1000', '00:00', '=DELETE', '0', '0', '0', '0']"
19,Client03,PATH,1584200382.539:4289,"item=4 name=""/home/akep/Downloads/Report_2020.sh"" inode=516686 dev=08:01 mode=0100600 ouid=1000 ogid=1000 rdev=00:00 nametype=CREATE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['4 name=""/home/akep/Downloads/Report_2020.sh""', '516686', '08:01', '0100600', '1000', '1000', '00:00', '=CREATE', '0', '0', '0', '0']"
20,Client03,PROCTITLE,1584200382.539:4289,"proctitle=""/usr/lib/firefox/firefox""",5ea41cea,"proctitle<*>""","['=""/usr/lib/firefox/firefox']"
21,Client03,SYSCALL,1584200382.587:4290,"arch=c000003e syscall=83 success=yes exit=0 a0=56430be56610 a1=1c0 a2=ffffffffffffff80 a3=0 items=2 ppid=1832 pid=2056 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=1 comm=""gvfsd-metadata"" exe=""/usr/lib/gvfs/gvfsd-metadata"" key=""home""",83a6f4d4,arch<*> syscall=<*> success<*> exit=<*> <*> <*> <*> <*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> <*> ses=<*> <*> <*> <*>,"['=c000003e', '83', '=yes', '0', 'a0=56430be56610', 'a1=1c0 a2=ffffffffffffff80 a3=0', '2', '1832', '2056', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000 tty=(none)', '1', 'comm=""gvfsd-metadata"" exe=""/usr/lib/gvfs/gvfsd-metadata"" key=""home""']"
22,Client03,CWD,1584200382.587:4290,"cwd=""/home/akep""",569c5378,"cwd<*>""","['=""/home/akep']"
23,Client03,PATH,1584200382.587:4290,"item=0 name=""/home/akep/.local/share/"" inode=516294 dev=08:01 mode=040700 ouid=1000 ogid=1000 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['0 name=""/home/akep/.local/share/""', '516294', '08:01', '040700', '1000', '1000', '00:00', '=PARENT', '0', '0', '0', '0']"
24,Client03,PATH,1584200382.587:4290,"item=1 name=""/home/akep/.local/share/gvfs-metadata"" inode=516676 dev=08:01 mode=040700 ouid=1000 ogid=1000 rdev=00:00 nametype=CREATE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['1 name=""/home/akep/.local/share/gvfs-metadata""', '516676', '08:01', '040700', '1000', '1000', '00:00', '=CREATE', '0', '0', '0', '0']"
25,Client03,PROCTITLE,1584200382.587:4290,"proctitle=""/usr/lib/gvfs/gvfsd-metadata""",5ea41cea,"proctitle<*>""","['=""/usr/lib/gvfs/gvfsd-metadata']"
