LineId,dayOfWeek,month,day,time,year,pid,pidNumber,Content,EventId,EventTemplate,ParameterList
1,Sat,Mar,7,11:52:10,2020,pid,24301,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
2,Sat,Mar,7,11:52:30,2020,pid,24294,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.7']"
3,Sat,Mar,7,11:54:42,2020,pid,26614,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
4,Sat,Mar,7,11:54:59,2020,pid,26607,"[sepses] FAIL LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'FAIL', 'ffff:10.0.0.7']"
5,Sat,Mar,7,12:02:42,2020,pid,33939,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
6,Sat,Mar,7,12:03:08,2020,pid,34344,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
7,Sat,Mar,7,12:03:32,2020,pid,34343,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.7']"
8,Sat,Mar,7,12:11:33,2020,pid,34706,"[sepses] OK MKDIR: Client ""::ffff:10.0.0.7"", ""/files/testfolder""",3e1394dc,"[<*>] OK <*> Client ""::<*>:<*>"", <*>","['sepses', 'MKDIR:', 'ffff:10.0.0.7', '""/files/testfolder""']"
9,Sat,Mar,7,12:12:14,2020,pid,42684,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
10,Sat,Mar,7,12:12:26,2020,pid,42683,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.7']"
11,Sat,Mar,7,12:19:45,2020,pid,49487,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
12,Sat,Mar,7,12:20:00,2020,pid,49486,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.7']"
13,Sat,Mar,7,12:20:11,2020,pid,49708,"[sepses] FAIL DOWNLOAD: Client ""::ffff:10.0.0.7"", ""/ftp/files/test2.txt"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['sepses', 'ffff:10.0.0.7', '""/ftp/files/test2.txt"", 0', 'sec']"
14,Sat,Mar,7,12:21:15,2020,pid,49708,"[sepses] FAIL DOWNLOAD: Client ""::ffff:10.0.0.7"", ""/test.txt"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['sepses', 'ffff:10.0.0.7', '""/test.txt"", 0', 'sec']"
15,Sat,Mar,7,12:21:29,2020,pid,49708,"[sepses] FAIL DOWNLOAD: Client ""::ffff:10.0.0.7"", ""/test.txt"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['sepses', 'ffff:10.0.0.7', '""/test.txt"", 0', 'sec']"
16,Sat,Mar,7,12:21:39,2020,pid,49708,"[sepses] FAIL DOWNLOAD: Client ""::ffff:10.0.0.7"", ""/open"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['sepses', 'ffff:10.0.0.7', '""/open"", 0', 'sec']"
17,Sat,Mar,7,12:30:01,2020,pid,58773,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
18,Sat,Mar,7,12:30:12,2020,pid,58772,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.7']"
19,Sat,Mar,7,12:32:55,2020,pid,61432,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
20,Sat,Mar,7,12:33:07,2020,pid,61431,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.7']"
21,Sat,Mar,7,12:36:22,2020,pid,61614,"[sepses] OK UPLOAD: Client ""::ffff:10.0.0.7"", ""/files/t.txt"", 8 bytes, 15.44Kbyte/sec",205b3f4d,"[<*>] OK <*> Client ""::<*>:<*>"", <*> <*> bytes, <*>","['sepses', 'UPLOAD:', 'ffff:10.0.0.7', '""/files/t.txt"", 8', '15.44Kbyte/sec']"
22,Sat,Mar,7,12:44:22,2020,pid,71825,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
23,Sat,Mar,7,12:44:33,2020,pid,71824,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.7']"
24,Sat,Mar,7,12:49:51,2020,pid,76810,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
25,Sat,Mar,7,12:50:00,2020,pid,76962,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
26,Sat,Mar,7,12:50:11,2020,pid,76961,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.7']"
27,Mon,Mar,9,22:14:26,2020,pid,7871,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
28,Mon,Mar,9,22:14:26,2020,pid,7866,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.7']"
29,Mon,Mar,9,22:15:16,2020,pid,7940,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
30,Mon,Mar,9,22:15:16,2020,pid,7939,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.7']"
31,Mon,Mar,9,22:15:16,2020,pid,7941,"[sepses] OK UPLOAD: Client ""::ffff:10.0.0.7"", ""/files/again/newfile.txt"", 6 bytes, 0.57Kbyte/sec",205b3f4d,"[<*>] OK <*> Client ""::<*>:<*>"", <*> <*> bytes, <*>","['sepses', 'UPLOAD:', 'ffff:10.0.0.7', '""/files/again/newfile.txt"", 6', '0.57Kbyte/sec']"
32,Mon,Mar,9,22:58:13,2020,pid,10518,"CONNECT: Client ""::ffff:10.0.0.9""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.9']
33,Mon,Mar,9,22:58:13,2020,pid,10517,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.9""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.9']"
34,Mon,Mar,9,23:00:59,2020,pid,10710,"CONNECT: Client ""::ffff:10.0.0.9""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.9']
35,Mon,Mar,9,23:00:59,2020,pid,10709,"[ftp_akep] OK LOGIN: Client ""::ffff:10.0.0.9""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_akep', 'OK', 'ffff:10.0.0.9']"
36,Mon,Mar,9,23:01:18,2020,pid,10736,"CONNECT: Client ""::ffff:10.0.0.9""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.9']
37,Mon,Mar,9,23:01:18,2020,pid,10735,"[ftp_akep] OK LOGIN: Client ""::ffff:10.0.0.9""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_akep', 'OK', 'ffff:10.0.0.9']"
