LineId,IP,DateTime,TimeZone,Content,EventId,EventTemplate,ParameterList
1,10.0.0.6,14/Mar/2020:11:53:50,+0100,"GET / HTTP/1.1"" 200 7632 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/', '1.1', '200', '7632 ""-""', '5.0', '64', '74.0', '20100101', '74.0']"
2,127.0.0.1,14/Mar/2020:11:53:51,+0100,"POST /wp-cron.php?doing_wp_cron=1584183231.4158298969268798828125 HTTP/1.1"" 200 198 ""http://example.com/wp-cron.php?doing_wp_cron=1584183231.4158298969268798828125"" ""WordPress/5.3.2; http://example.com",301e786a,"POST /<*>?doing_wp_cron=<*>.<*> HTTP/<*>.<*>"" <*> <*> ""http:<*>?doing_wp_cron=<*>.<*>"" ""WordPress/<*>.<*>.<*>; http:<*>","['wp-cron.php', '1584183231.4158298969268798828125', '1.1', '200 198', '//example.com/wp-cron.php', '1584183231.4158298969268798828125', '5', '3.2', '//example.com']"
3,10.0.0.6,14/Mar/2020:11:54:07,+0100,"GET /wp-content/uploads/2020/03/test2.txt HTTP/1.1"" 304 188 ""http://example.com/"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-content/uploads/2020/03/test2.txt', '1.1', '304', '188 ""http://example.com/""', '5.0', '64', '74.0', '20100101', '74.0']"
4,10.0.0.12,14/Mar/2020:11:54:46,+0100,"GET / HTTP/1.1"" 200 7632 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/', '1.1', '200', '7632 ""-""', '5.0', '64', '74.0', '20100101', '74.0']"
5,10.0.0.12,14/Mar/2020:11:54:46,+0100,"GET /favicon.ico HTTP/1.1"" 404 489 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/favicon.ico', '1.1', '404', '489 ""-""', '5.0', '64', '74.0', '20100101', '74.0']"
6,10.0.0.9,14/Mar/2020:11:54:50,+0100,"GET / HTTP/1.1"" 200 7632 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/', '1.1', '200', '7632 ""-""', '5.0', '64', '74.0', '20100101', '74.0']"
7,10.0.0.9,14/Mar/2020:11:54:50,+0100,"GET /wp-content/themes/twentytwenty/style.css?ver=1.1 HTTP/1.1"" 200 22804 ""http://example.com/"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-content/themes/twentytwenty/style.css?ver=1.1', '1.1', '200', '22804 ""http://example.com/""', '5.0', '64', '74.0', '20100101', '74.0']"
8,10.0.0.12,14/Mar/2020:11:55:12,+0100,"GET /index.php/2020/03/07/important-news/ HTTP/1.1"" 200 8443 ""http://example.com/"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/index.php/2020/03/07/important-news/', '1.1', '200', '8443 ""http://example.com/""', '5.0', '64', '74.0', '20100101', '74.0']"
9,10.0.0.12,14/Mar/2020:11:55:13,+0100,"GET /wp-includes/js/comment-reply.min.js?ver=5.3.2 HTTP/1.1"" 200 1481 ""http://example.com/index.php/2020/03/07/important-news/"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/comment-reply.min.js?ver=5.3.2', '1.1', '200', '1481 ""http://example.com/index.php/2020/03/07/important-news/""', '5.0', '64', '74.0', '20100101', '74.0']"
10,10.0.0.9,14/Mar/2020:11:55:16,+0100,"GET /index.php/2020/03/04/hello-world/ HTTP/1.1"" 200 9010 ""http://example.com/"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/index.php/2020/03/04/hello-world/', '1.1', '200', '9010 ""http://example.com/""', '5.0', '64', '74.0', '20100101', '74.0']"
11,10.0.0.9,14/Mar/2020:11:55:16,+0100,"GET /index.php/2020/03/07/important-news/ HTTP/1.1"" 200 8410 ""http://example.com/index.php/2020/03/04/hello-world/"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/index.php/2020/03/07/important-news/', '1.1', '200', '8410 ""http://example.com/index.php/2020/03/04/hello-world/""', '5.0', '64', '74.0', '20100101', '74.0']"
