LineId,dayOfWeek,month,day,time,year,type,pid,pidNumber,Content,EventId,EventTemplate,ParameterList
1,Sat,Mar,14,11:38:01.826750,2020,mpm_prefork:notice,pid,2004,AH00163: Apache/2.4.29 (Ubuntu) configured -- resuming normal operations,eaa31300,AH00163: Apache/<*>.<*>.<*> (Ubuntu) configured -- resuming normal operations,"['2', '4.29']"
2,Sat,Mar,14,11:38:01.828329,2020,core:notice,pid,2004,AH00094: Command line: '/usr/sbin/apache2',36745bf3,AH00094: Command line: '/<*>',['usr/sbin/apache2']
3,Sat,Mar,14,11:42:56.418699,2020,mpm_prefork:notice,pid,2004,"AH00171: Graceful restart requested, doing restart AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 10.0.0.7. Set the 'ServerName' directive globally to suppress this message",7a6f5062,"AH00171: Graceful restart requested, doing restart AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using <*>. Set the 'ServerName' directive globally to suppress this message",['10.0.0.7']
4,Sat,Mar,14,11:42:56.465183,2020,mpm_prefork:notice,pid,2004,AH00163: Apache/2.4.29 (Ubuntu) configured -- resuming normal operations,eaa31300,AH00163: Apache/<*>.<*>.<*> (Ubuntu) configured -- resuming normal operations,"['2', '4.29']"
5,Sat,Mar,14,11:42:56.465201,2020,core:notice,pid,2004,AH00094: Command line: '/usr/sbin/apache2' sh: 1: /usr/sbin/sendmail: not found,b6d601cc,AH00094: Command line: '/<*>' sh: <*>: /<*>: not found,"['usr/sbin/apache2', '1', 'usr/sbin/sendmail']"
6,Sat,Mar,14,15:51:06.583149,2020,php7:error,pid,5227,[client 93.243.136.158:35462] script '/var/www/html/index.php' not found or unable to stat sh: 1: /usr/sbin/sendmail: not found,c909bab1,[client <*>] script '/<*>' not found or unable to stat sh: <*>: /<*>: not found,"['93.243.136.158:35462', 'var/www/html/index.php', '1', 'usr/sbin/sendmail']"
