LineId,Device,IP,DateTime,TimeZone,Content,EventId,EventTemplate,ParameterList
159,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-includes/js/imgareaselect/jquery.imgareaselect.min.js?ver=5.3.2 HTTP/1.1"" 200 4075 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/imgareaselect/jquery.imgareaselect.min.js?ver=5.3.2', '1.1', '200', '4075 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
160,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-includes/js/wplink.min.js?ver=5.3.2 HTTP/1.1"" 200 4196 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/wplink.min.js?ver=5.3.2', '1.1', '200', '4196 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
161,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-includes/js/quicktags.min.js?ver=5.3.2 HTTP/1.1"" 200 3855 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/quicktags.min.js?ver=5.3.2', '1.1', '200', '3855 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
162,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-includes/js/dist/block-library.min.js?ver=2.9.6 HTTP/1.1"" 200 76756 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/dist/block-library.min.js?ver=2.9.6', '1.1', '200', '76756 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
163,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-includes/js/jquery/ui/menu.min.js?ver=1.11.4 HTTP/1.1"" 200 3169 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/jquery/ui/menu.min.js?ver=1.11.4', '1.1', '200', '3169 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
164,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-admin/js/image-edit.min.js?ver=5.3.2 HTTP/1.1"" 200 3822 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-admin/js/image-edit.min.js?ver=5.3.2', '1.1', '200', '3822 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
165,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-includes/js/mce-view.min.js?ver=5.3.2 HTTP/1.1"" 200 4095 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/mce-view.min.js?ver=5.3.2', '1.1', '200', '4095 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
166,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-includes/js/jquery/ui/position.min.js?ver=1.11.4 HTTP/1.1"" 200 2858 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/jquery/ui/position.min.js?ver=1.11.4', '1.1', '200', '2858 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
167,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-includes/js/jquery/ui/autocomplete.min.js?ver=1.11.4 HTTP/1.1"" 200 3131 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/jquery/ui/autocomplete.min.js?ver=1.11.4', '1.1', '200', '3131 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
168,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105 HTTP/1.1"" 200 4348 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105', '1.1', '200', '4348 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
